Feature ID,Feature Name,Cluster 1 Mean Counts,Cluster 1 Log2 fold change,Cluster 1 Adjusted p value,Cluster 2 Mean Counts,Cluster 2 Log2 fold change,Cluster 2 Adjusted p value,Cluster 3 Mean Counts,Cluster 3 Log2 fold change,Cluster 3 Adjusted p value
ENSMUSG00000051951,Xkr4,0.005405019786233145,1.385455018572511,0.49871684530032934,0.0019636181799332873,-0.34375853978583226,1,0,-0.34754443420810155,1
ENSMUSG00000025900,Rp1,0.012161294519024576,1.38545501857251,0.31643009900244573,0.005890854539799862,-0.34375853978583226,1,0,-1.4630216516280372,0.737913125989531
ENSMUSG00000025902,Sox17,0.01081003957246629,2.2334519251274605,0.10904376476990758,0.0019636181799332873,-1.1917554463407827,0.7647930993664072,0,-1.084510028374308,0.9000337492549687
ENSMUSG00000104238,Gm37587,0.0013512549465582863,0.06352692368514745,1,0.0019636181799332873,0.9781695551015295,1,0,0.6524555657918985,1
ENSMUSG00000104328,Gm37323,0,-1.5214355770360104,0.7112884487699279,0.0019636181799332873,0.9781695551015295,1,0.003785741158765992,2.2374180665130554,0.7844981433572474
ENSMUSG00000033845,Mrpl15,0.014863804412141149,-0.1588654976513002,1,0.013745327259533011,-0.19175544634078268,1,0.022714446952595953,0.7968454751270739,0.8094917600679522
ENSMUSG00000025903,Lypla1,0.006756274732791431,-2.39590469495215,0.001811851145607232,0.027490654519066023,0.3000976499888921,1,0.06814334085778787,2.163417485069278,0.005527092747254394
ENSMUSG00000033813,Tcea1,0.005405019786233145,0.06352692368514745,1,0,-2.1917554463407836,0.4567651931608666,0.015142964635063969,2.2374180665130554,0.27301953254963957
ENSMUSG00000033793,Atp6v1h,0.006756274732791431,0.3265613295189409,0.9480864286204925,0.005890854539799862,0.17081463304392575,1,0.003785741158765992,0.06749306507074326,1
ENSMUSG00000025907,Rb1cc1,0.12566671002992064,1.6639194649759097,0.0004132589268255733,0.05105407267826547,-0.8816527868502098,0.27423835690179793,0.015142964635063969,-2.3475444342081007,0.008715041527229484
ENSMUSG00000090031,4732440D04Rik,0.0013512549465582863,1.0635269236851475,0.7112884487699279,0,-0.021830444898471413,1,0,1.2374180665130545,1
ENSMUSG00000087247,Alkal1,0.0013512549465582863,1.0635269236851475,0.7112884487699279,0,-0.021830444898471413,1,0,1.2374180665130545,1
ENSMUSG00000025909,Sntg1,0.0013512549465582863,-1.9364730763148534,0.2485225463553358,0.011781709079599724,2.200561976437977,0.20456552069340211,0.003785741158765992,0.23741806651305541,1
