Feature ID,Feature Name,Cluster 1 Mean Counts,Cluster 1 Log2 fold change,Cluster 1 Adjusted p value,Cluster 2 Mean Counts,Cluster 2 Log2 fold change,Cluster 2 Adjusted p value,Cluster 3 Mean Counts,Cluster 3 Log2 fold change,Cluster 3 Adjusted p value,Cluster 4 Mean Counts,Cluster 4 Log2 fold change,Cluster 4 Adjusted p value
ENSMUSG00000051951,Xkr4,0.005507238940626149,1.4378127759222785,0.5275179890393318,0.0021108386978354082,-0.18957118367797765,1,0,-0.29126746572978046,1,0,2.0488104438684207,1
ENSMUSG00000025900,Rp1,0.012391287616408836,1.4378127759222776,0.3366988707624981,0.006332516093506224,-0.18957118367797765,1,0,-1.4067446831497161,0.7527944944000498,0,0.933333226448485,1
ENSMUSG00000025902,Sox17,0.011014477881252299,2.285809682477229,0.11343990969309692,0.0021108386978354082,-1.0375680902329272,0.7666880603150507,0,-1.0282330598959861,0.9139485485043776,0,1.3118448497022142,1
ENSMUSG00000104238,Gm37587,0.0013768097351565373,0.11588468103491678,1,0.0021108386978354082,1.1323569112093859,0.963986900421099,0,0.7087325342702204,1,0,3.0488104438684207,1
ENSMUSG00000104328,Gm37323,0,-1.4690778196862393,0.7702699075548564,0.0021108386978354082,1.1323569112093859,0.963986900421099,0.003910472049840303,2.2936950349913774,0.7902880630716215,0,3.0488104438684207,1
ENSMUSG00000033845,Mrpl15,0.013768097351565374,-0.3315742959363055,0.955003096972452,0.014775870884847856,-0.037568090232927176,1,0.023462832299041815,0.853122443605395,0.812500964638873,0.0173369945619986,1.0488104438684207,1
ENSMUSG00000025903,Lypla1,0.005507238940626149,-2.6496500653280615,0.0010365505792090258,0.029551741769695713,0.4542850060967476,0.9345527046061542,0.07038849689712545,2.2196944535476004,0.00457166011626107,0.0173369945619986,0.42431957896062666,1
ENSMUSG00000033813,Tcea1,0.0027536194703130746,-1.1065077403015318,0.6914361280310259,0,-2.0375680902329263,0.6139991865923935,0.01564188819936121,2.2936950349913774,0.26348197150976177,0.0346739891239972,3.4113805232531282,0.5303136800054222
ENSMUSG00000033793,Atp6v1h,0.005507238940626149,-0.14714972479887845,1,0.006332516093506224,0.32500198915178125,1,0.003910472049840303,0.12377003354906435,1,0.0173369945619986,2.4638479431472646,1
ENSMUSG00000025907,Rb1cc1,0.1252896858992449,1.5950525177334751,0.0008059507394562978,0.04854929005021439,-0.9408920708212536,0.26397106056358294,0.01564188819936121,-2.291267465729779,0.013071051825804932,0.08668497280999299,0.3239176820027887,1
ENSMUSG00000090031,4732440D04Rik,0.0013768097351565373,1.1158846810349168,0.7686026217491438,0,0.13235691120938675,1,0,1.2936950349913765,1,0,3.633772944589577,1
ENSMUSG00000087247,Alkal1,0.0013768097351565373,1.1158846810349168,0.7686026217491438,0,0.13235691120938675,1,0,1.2936950349913765,1,0,3.633772944589577,1
ENSMUSG00000025909,Sntg1,0.0013768097351565373,-1.884115318965084,0.2772440135726376,0.012665032187012449,2.3547493325458344,0.15897162228330933,0.003910472049840303,0.2936950349913765,1,0,1.4638479431472646,1
ENSMUSG00000061024,Rrs1,0.00963766814609576,2.115884681034917,0.1631878875941638,0,-2.0375680902329263,0.4121403798750366,0,-0.8762299664509365,0.9121401281163258,0.0173369945619986,2.633772944589577,1
ENSMUSG00000025912,Mybl1,0.01927533629219152,2.4378127759222794,0.02792813538544464,0,-2.9551059300409532,0.10154493901264294,0,-1.7937678062589635,0.48856149331628845,0.0346739891239972,2.311844849702214,0.846091572505951
ENSMUSG00000045210,Vcpip1,0.011014477881252299,2.285809682477229,0.1499875498740915,0,-2.1895711836779768,0.46859677703519653,0,-1.0282330598959861,0.9421796895495629,0.0173369945619986,2.4638479431472646,1
ENSMUSG00000097893,1700034P13Rik,0.006884048675782687,-0.8841153189650841,0.5987449220754101,0.018997548280518674,1.4542850060967476,0.4561931057045064,0.007820944099680606,-0.028233059895985235,1,0,0.5463101033392377,1
ENSMUSG00000025915,Sgk3,0.0013768097351565373,-0.4690778196862393,1,0.0021108386978354082,0.5473944104882298,1,0,0.2936950349913765,1,0.0173369945619986,4.048810443868421,0.738522573960436
ENSMUSG00000098234,Snhg6,0.011014477881252299,0.11588468103491589,1,0.016886709582683266,1.132356911209385,0.5534481985853773,0,-1.7937678062589635,0.4742293975285723,0,0.5463101033392377,1
