Feature ID,Feature Name,Cluster 1 Mean Counts,Cluster 1 Log2 fold change,Cluster 1 Adjusted p value,Cluster 2 Mean Counts,Cluster 2 Log2 fold change,Cluster 2 Adjusted p value,Cluster 3 Mean Counts,Cluster 3 Log2 fold change,Cluster 3 Adjusted p value,Cluster 4 Mean Counts,Cluster 4 Log2 fold change,Cluster 4 Adjusted p value,Cluster 5 Mean Counts,Cluster 5 Log2 fold change,Cluster 5 Adjusted p value
ENSMUSG00000051951,Xkr4,0.005628755599257074,1.4976762628063023,0.5125813429035424,0.0020587050617291856,-0.24230255593849837,1,0,-0.320011028676805,1,0,2.0929552001072995,1,0,6.90222339258716,1
ENSMUSG00000025900,Rp1,0.012664700098328418,1.4976762628063032,0.32911730409488954,0.0061761151851875565,-0.24230255593849837,1,0,-1.4354882460967406,0.7545723710370275,0,0.977477982687363,1,0,5.786746175167225,1
ENSMUSG00000025902,Sox17,0.011257511198514147,2.345673169361252,0.1054711208313122,0.0020587050617291856,-1.090299462493448,0.7528677871236493,0,-1.0569766228430106,0.9143273945186581,0,1.355989605941093,1,0,6.165257798420954,1
ENSMUSG00000104238,Gm37587,0.0014071888998142684,0.17574816791893966,1,0.0020587050617291856,1.0796255389488634,0.9660917690427178,0,0.6799889713231959,1,0,3.0929552001072995,1,0,7.90222339258716,1
ENSMUSG00000104328,Gm37323,0,-1.4092143328022164,0.7725784683068253,0.0020587050617291856,1.0796255389488634,0.9660917690427178,0.003846153846153847,2.264951472044353,0.7961479355553208,0,3.0929552001072995,1,0,7.90222339258716,1
ENSMUSG00000033845,Mrpl15,0.014071888998142686,-0.27171080905228084,0.9577012651503995,0.0144109354321043,-0.09029946249344789,1,0.02307692307692308,0.8243788806583705,0.8198530561597331,0.017864077669902913,1.0929552001072995,1,0,4.843329703533592,1
ENSMUSG00000025903,Lypla1,0.005628755599257074,-2.589786578444036,0.001134377258083632,0.0288218708642086,0.401553633836226,0.9678061378771592,0.06923076923076925,2.1909508906005755,0.005031718220093266,0.017864077669902913,0.4684643351995055,1,0,4.239258379864731,1
ENSMUSG00000033813,Tcea1,0.002814377799628537,-1.046644253417507,0.6950602309108861,0,-2.090299462493449,0.47024399573752323,0.015384615384615387,2.264951472044353,0.26659112467758567,0.03572815533980583,3.455525279492008,0.5388004221290296,0,6.317260891866004,1
ENSMUSG00000033793,Atp6v1h,0.007035944499071343,0.438782573752734,0.9913005798975609,0.0061761151851875565,0.27227061689125964,1,0.003846153846153847,0.09502647060203984,1,0,1.355989605941093,1,0,6.165257798420954,1
ENSMUSG00000025907,Rb1cc1,0.12664700098328416,1.5960799668672978,0.0007780378318585484,0.04940892148150045,-0.9203744610511362,0.27021155108675404,0.015384615384615387,-2.3200110286768036,0.010773311513496387,0.08932038834951456,0.3680624382416684,1,0,2.532989582921441,1
ENSMUSG00000090031,4732440D04Rik,0.0014071888998142684,1.1757481679189397,0.7615163739146227,0,0.07962553894886248,1,0,1.264951472044352,1,0,3.6779177008284556,1,0,8.487185893308316,1
ENSMUSG00000087247,Alkal1,0.0014071888998142684,1.1757481679189397,0.7615163739146227,0,0.07962553894886248,1,0,1.264951472044352,1,0,3.6779177008284556,1,0,8.487185893308316,1
ENSMUSG00000025909,Sntg1,0.0014071888998142684,-1.8242518320810595,0.28282358668451407,0.012352230370375113,2.302017960285311,0.17313991520213778,0.003846153846153847,0.264951472044352,1,0,1.5079926993861434,1,0,6.317260891866004,1
ENSMUSG00000061024,Rrs1,0.009850322298699879,2.1757481679189397,0.15521115416575632,0,-2.090299462493449,0.4013595968984409,0,-0.904973529397961,0.9113582822173532,0,1.5079926993861434,1,0.9019607843137255,7.487185893308316,0.9049633720136295
ENSMUSG00000025912,Mybl1,0.019700644597399758,2.4976762628063023,0.025885735045928972,0,-3.0078373023014766,0.06465595841641729,0,-1.822511369205988,0.4783391740000345,0.03572815533980583,2.355989605941093,0.8515893281906802,0,5.399723052057977,1
ENSMUSG00000045210,Vcpip1,0.009850322298699879,1.5907856671977836,0.3878725005346332,0.0020587050617291856,-1.090299462493448,0.789391114737694,0,-1.0569766228430106,0.9366730984439806,0.017864077669902913,2.5079926993861434,1,0,6.165257798420954,1
ENSMUSG00000097893,1700034P13Rik,0.007035944499071343,-0.8242518320810595,0.7432066373533027,0.01852834555556267,1.401553633836226,0.47024399573752323,0.007692307692307694,-0.05697662284301064,1,0,0.5904548595781165,1,0,5.399723052057977,1
