Feature ID,Feature Name,Cluster 1 Mean Counts,Cluster 1 Log2 fold change,Cluster 1 Adjusted p value,Cluster 2 Mean Counts,Cluster 2 Log2 fold change,Cluster 2 Adjusted p value,Cluster 3 Mean Counts,Cluster 3 Log2 fold change,Cluster 3 Adjusted p value,Cluster 4 Mean Counts,Cluster 4 Log2 fold change,Cluster 4 Adjusted p value,Cluster 5 Mean Counts,Cluster 5 Log2 fold change,Cluster 5 Adjusted p value
ENSMUSG00000051951,Xkr4,0.002387472789832174,2.335194555700668,0.8579479343439117,0,1.1313596956342238,1,0,1.6961985232969585,1,0,0.4634046128024547,1,0,1.7101649077304346,1
ENSMUSG00000025900,Rp1,0.007162418369496522,0.7502320549795121,1,0.010953929063058317,1.5463971949130668,0.6773670516718928,0,-0.4737264781453545,1,0.0025467817939149625,-0.5365953871975444,0.9705274153186206,0.005126237013076015,0.7101649077304346,1
ENSMUSG00000025902,Sox17,0.002387472789832174,-0.834730445741644,1,0.0036513096876861053,-0.038565305808089256,1,0,-0.625729571590405,1,0.01018712717565985,1.2003702069686613,0.5536912838476579,0.015378711039228046,1.9028099856728309,0.848464351153277
ENSMUSG00000104238,Gm37587,0.002387472789832174,0.013266460813305514,1,0.0036513096876861053,0.8094316007468612,1,0.005083179297597042,1.374270428409595,1,0.005093563587829925,1.0483671135236117,0.9117417260247257,0,0.12520240700927854,1
ENSMUSG00000033845,Mrpl15,0.02387472789832174,0.09418645619687371,1,0.014605238750744421,-0.5467122094784145,1,0.030499075785582253,0.5966628497460427,1,0.033108163320894515,0.7471975788030463,0.5429828440490901,0.01025247402615203,-0.7923354327987484,1
ENSMUSG00000025903,Lypla1,0.016712309528825218,-0.6190017546862068,0.9444636169940231,0.03651309687686105,0.7834363922139165,0.8538786914763407,0.08641404805914972,2.473806101960509,0.0030959178414166413,0.007640345381744887,-1.6658784041425108,0.1264634536354151,0,-2.5377626057131506,0.5741350931039808
ENSMUSG00000033813,Tcea1,0,-2.4721603663569347,0.37336533132099614,0.029210477501488842,2.71632219635538,0.038933644881419496,0.020332717190388167,1.6961985232969576,0.4872423440436358,0.0025467817939149625,-1.237035105338637,0.5429828440490901,0,-1.0971900143271691,1
ENSMUSG00000033793,Atp6v1h,0.002387472789832174,-1.6648054442993319,0.5465612292734325,0.021907858126116633,1.4792829990545302,0.4835500722757915,0.015249537892791126,0.8888436012393539,1,0.01018712717565985,0.0848929895487247,1,0.01025247402615203,0.3882368128430729,1
ENSMUSG00000025907,Rb1cc1,0.11459869391194435,-0.07246341321257788,1,0.04381571625223327,-1.5432400175716086,0.10810063078311959,0.020332717190388167,-2.424816877664408,0.01857254950794062,0.1782747255740474,0.8582642301436687,0.10209573580670221,0.22042819156226864,1.092780929316901,0.3978389817160999
ENSMUSG00000090031,4732440D04Rik,0.002387472789832174,2.335194555700668,0.8579479343439117,0,1.1313596956342238,1,0,1.6961985232969585,1,0,0.4634046128024547,1,0,1.7101649077304346,1
