Feature ID,Feature Name,Cluster 1 Mean Counts,Cluster 1 Log2 fold change,Cluster 1 Adjusted p value,Cluster 2 Mean Counts,Cluster 2 Log2 fold change,Cluster 2 Adjusted p value,Cluster 3 Mean Counts,Cluster 3 Log2 fold change,Cluster 3 Adjusted p value,Cluster 4 Mean Counts,Cluster 4 Log2 fold change,Cluster 4 Adjusted p value,Cluster 5 Mean Counts,Cluster 5 Log2 fold change,Cluster 5 Adjusted p value,Cluster 6 Mean Counts,Cluster 6 Log2 fold change,Cluster 6 Adjusted p value
ENSMUSG00000051951,Xkr4,0.0054825774924869945,1.4253539818023642,0.4986328675376483,0.0019636181799332873,-0.34375853978583226,1,0,-0.34754443420810155,1,0,4.702848813722962,1,0,7.193514261182159,1,0,6.90222339258716,1
ENSMUSG00000025900,Rp1,0.012335799358095739,1.4253539818023642,0.3161423351784515,0.005890854539799862,-0.34375853978583226,1,0,-1.4630216516280372,0.737913125989531,0,3.5873715963030253,1,0,6.078037043762222,1,0,5.786746175167225,1
ENSMUSG00000025902,Sox17,0.010965154984973989,2.2733508883573146,0.104478147347155,0.0019636181799332873,-1.1917554463407827,0.7647930993664072,0,-1.084510028374308,0.9000337492549687,0,3.9658832195567553,1,0,6.456548667015952,1,0,6.165257798420954,1
ENSMUSG00000104238,Gm37587,0.0013706443731217486,0.10342588691500154,1,0.0019636181799332873,0.9781695551015295,1,0,0.6524555657918985,1,0,5.702848813722962,1,0,8.193514261182159,1,0,7.90222339258716,1
ENSMUSG00000104328,Gm37323,0,-1.4815366138061545,0.7363180818270263,0.0019636181799332873,0.9781695551015295,1,0.003785741158765992,2.2374180665130554,0.7844981433572474,0,5.702848813722962,1,0,8.193514261182159,1,0,7.90222339258716,1
ENSMUSG00000033845,Mrpl15,0.015077088104339236,-0.11896653442144522,1,0.013745327259533011,-0.19175544634078268,1,0.022714446952595953,0.7968454751270739,0.8094917600679522,0,2.6439551246693935,1,0,5.134620572128591,1,0,4.843329703533592,1
ENSMUSG00000025903,Lypla1,0.006853221865608744,-2.356005731722295,0.0029860685479441494,0.027490654519066023,0.3000976499888921,1,0.06814334085778787,2.163417485069278,0.005527092747254394,0,2.0398838010005327,1,0,4.53054924845973,1,0,4.239258379864731,1
ENSMUSG00000033813,Tcea1,0.004111933119365246,-0.48153661380615365,0.9709212446664778,0,-2.1917554463407836,0.4567651931608666,0.015142964635063969,2.2374180665130554,0.27301953254963957,0.11578568860122258,5.287811314444118,0.825053446203798,0,6.608551760461003,1,0,6.317260891866004,1
ENSMUSG00000033793,Atp6v1h,0.006853221865608744,0.3664602927487959,0.9709212446664778,0.005890854539799862,0.17081463304392575,1,0.003785741158765992,0.06749306507074326,1,0,3.9658832195567553,1,0,6.456548667015952,1,0,6.165257798420954,1
ENSMUSG00000025907,Rb1cc1,0.12609928232720088,1.6425846980230334,0.0005271222091872764,0.05105407267826547,-0.8816527868502098,0.27423835690179793,0.015142964635063969,-2.3475444342081007,0.008715041527229484,0.11578568860122258,1.345296809104878,1,0,2.8242804515164392,1,0,2.532989582921441,1
