PC,Proportion.Variance.Explained
1,0.00949971148473
2,0.004450847365365436
3,0.0035136489505133805
4,0.00279769346346793
5,0.00268266066974847
6,0.0026208280481338775
7,0.002511148864652376
8,0.0024471089066442015
9,0.002404503537073059
10,0.0023032522673060232
