Feature,Normalized.Dispersion
ENSMUSG00000051951,-0.1887754094559708
ENSMUSG00000025900,0.6982310041800027
ENSMUSG00000025902,0.4063278984397216
ENSMUSG00000104238,NaN
ENSMUSG00000104328,NaN
ENSMUSG00000033845,0.5535773313583423
ENSMUSG00000025903,1.8609572770526714
ENSMUSG00000033813,2.4379713658564657
ENSMUSG00000033793,-1.4042133816305655
ENSMUSG00000025907,-0.8154079643081276
ENSMUSG00000090031,NaN
ENSMUSG00000087247,NaN
ENSMUSG00000025909,-0.4971614730428841
ENSMUSG00000061024,-0.22068700326391577
ENSMUSG00000025912,0.9979008543831899
ENSMUSG00000045210,2.672893188774712
ENSMUSG00000097893,3.0939578020470058
ENSMUSG00000025915,0.7801491952044926
ENSMUSG00000098234,-0.5024331909512455
ENSMUSG00000025916,0.8960297879080589
ENSMUSG00000025917,-0.20802504205622924
ENSMUSG00000056763,1.6480980253159165
ENSMUSG00000067851,-0.16156871311017057
ENSMUSG00000042501,-0.4699221075926383
ENSMUSG00000048960,NaN
ENSMUSG00000057715,0.4018861288969988
ENSMUSG00000101314,-1.0472640901024035
ENSMUSG00000099498,0.1173999187084429
ENSMUSG00000005886,1.254311277961819
ENSMUSG00000025935,-1.0199237081158092
ENSMUSG00000067813,NaN
ENSMUSG00000092083,NaN
ENSMUSG00000025925,-2.4154573306072913
ENSMUSG00000067795,1.113234056602399
ENSMUSG00000043716,-0.09996142768239698
ENSMUSG00000025921,-0.45955798672908965
ENSMUSG00000025920,NaN
ENSMUSG00000089982,2.0973559176877092
ENSMUSG00000025939,1.489864101558854
ENSMUSG00000079658,-0.7140359984157489
ENSMUSG00000097744,-2.111988866432318
ENSMUSG00000025940,1.3668954483248708
ENSMUSG00000101640,-0.9244037090397518
ENSMUSG00000042686,NaN
ENSMUSG00000100110,NaN
ENSMUSG00000025777,NaN
ENSMUSG00000109887,0.2665752511165878
ENSMUSG00000067773,-1.0523846882180772
ENSMUSG00000100538,NaN
ENSMUSG00000043760,NaN
ENSMUSG00000089914,0.9651823508430394
ENSMUSG00000025931,0.6091293589316144
ENSMUSG00000041809,-0.9590237829045957
ENSMUSG00000041779,-0.9623395628816713
ENSMUSG00000025934,NaN
ENSMUSG00000028033,NaN
ENSMUSG00000073730,-0.8131989656817794
ENSMUSG00000026156,NaN
ENSMUSG00000026155,1.600838955227936
ENSMUSG00000026154,-0.06969702209782568
ENSMUSG00000026153,1.3586604213397384
ENSMUSG00000026147,NaN
ENSMUSG00000026141,-1.5825989869980388
ENSMUSG00000073725,-1.5529957340168352
ENSMUSG00000099392,-1.0556895912465427
ENSMUSG00000033569,1.120692720635584
ENSMUSG00000073722,NaN
ENSMUSG00000048411,-0.6782252316088504
ENSMUSG00000048874,-0.31686260380258424
ENSMUSG00000026064,NaN
ENSMUSG00000086727,-0.10906496879462127
ENSMUSG00000050217,NaN
ENSMUSG00000026063,-1.319527292475642
ENSMUSG00000026058,0.3541091307862296
ENSMUSG00000091318,-0.6794529583508047
ENSMUSG00000026134,0.6879274213105772
ENSMUSG00000004768,-3.036267246356375
ENSMUSG00000042197,0.9230516366794179
ENSMUSG00000042182,1.2479572534679169
ENSMUSG00000026131,-1.3606756735355943
ENSMUSG00000042111,NaN
ENSMUSG00000026127,1.2486341584750618
ENSMUSG00000026126,0.2878722198410463
ENSMUSG00000100280,NaN
ENSMUSG00000101223,-0.10873130449041968
ENSMUSG00000026125,0.24004935475136482
ENSMUSG00000037529,2.4237400377930376
ENSMUSG00000045815,-2.109111290101062
ENSMUSG00000037503,NaN
ENSMUSG00000026123,NaN
ENSMUSG00000103708,3.312278878314594
ENSMUSG00000104201,0.6738515807840977
ENSMUSG00000102202,NaN
ENSMUSG00000102762,2.384392274373028
ENSMUSG00000010453,0.5098029353702225
ENSMUSG00000037432,-1.0829227590167665
ENSMUSG00000001143,-0.6293567056144428
ENSMUSG00000037408,-0.9088156041868869
ENSMUSG00000067653,NaN
ENSMUSG00000079610,2.9081398196600765
ENSMUSG00000026121,NaN
ENSMUSG00000087589,0.2890322338027797
ENSMUSG00000046337,0.3325798697706059
ENSMUSG00000061518,-1.29944376727326
ENSMUSG00000037351,-2.007755005894964
ENSMUSG00000102416,0.3489011617803323
ENSMUSG00000026117,NaN
ENSMUSG00000026116,NaN
ENSMUSG00000102930,NaN
ENSMUSG00000050122,3.0882031200674005
ENSMUSG00000026113,0.8418368181343601
ENSMUSG00000086064,-1.5016548453635454
ENSMUSG00000026112,0.2826940651283015
ENSMUSG00000026111,0.31980931088180814
ENSMUSG00000026110,0.23717654547686923
ENSMUSG00000026090,0.09689001670270299
ENSMUSG00000089767,NaN
ENSMUSG00000060771,0.920713519352278
ENSMUSG00000026088,2.3656029469093416
ENSMUSG00000026087,3.572925020570296
ENSMUSG00000058407,-1.403964702095654
ENSMUSG00000026083,1.4012640834011199
ENSMUSG00000026082,-2.2421046393033417
ENSMUSG00000102716,3.017844191525926
ENSMUSG00000037138,1.4746226555062536
ENSMUSG00000085391,NaN
ENSMUSG00000026078,NaN
ENSMUSG00000104188,NaN
ENSMUSG00000026077,NaN
ENSMUSG00000073702,0.6375603227083297
ENSMUSG00000003134,NaN
ENSMUSG00000003135,-2.012378386034307
ENSMUSG00000050967,-2.4652218952179794
ENSMUSG00000057173,1.6763888018953037
ENSMUSG00000101634,-0.31736696939170833
ENSMUSG00000104441,1.4678889327381464
ENSMUSG00000041945,NaN
ENSMUSG00000104072,0.8808090592166177
ENSMUSG00000060424,1.0539350675330283
ENSMUSG00000060679,-1.0022320911925522
ENSMUSG00000070939,NaN
ENSMUSG00000010290,-0.05967463520071619
ENSMUSG00000008136,NaN
ENSMUSG00000099576,NaN
ENSMUSG00000066877,2.0573762507833275
ENSMUSG00000026051,NaN
ENSMUSG00000057363,1.6574101543241924
ENSMUSG00000041763,0.6373682021961233
ENSMUSG00000091844,5.550775654733473
ENSMUSG00000026049,3.6798492411832164
ENSMUSG00000026047,NaN
ENSMUSG00000100769,NaN
ENSMUSG00000026042,NaN
ENSMUSG00000025995,1.1031107689993844
ENSMUSG00000041144,1.0705559005056264
ENSMUSG00000101337,-0.13941045322365464
ENSMUSG00000025986,-0.7635892642265415
ENSMUSG00000099608,1.1250524917236004
ENSMUSG00000026109,2.2519406047267085
ENSMUSG00000101702,-0.9213344857443101
ENSMUSG00000026107,0.5978853510658917
ENSMUSG00000062939,0.5859495453027465
ENSMUSG00000109599,NaN
ENSMUSG00000026104,NaN
ENSMUSG00000100120,0.9060355061885605
ENSMUSG00000043015,2.6801234255025514
ENSMUSG00000041439,-0.23642478457175364
ENSMUSG00000026102,4.465895308985497
ENSMUSG00000041426,-0.7882393384005002
ENSMUSG00000043629,4.079606159185229
ENSMUSG00000060715,-1.093482473808611
ENSMUSG00000100763,NaN
ENSMUSG00000026096,-1.0630092484233882
ENSMUSG00000026095,-0.053948628275346966
ENSMUSG00000096141,0.2806488552037874
ENSMUSG00000026094,0.6878942763381066
ENSMUSG00000042807,NaN
ENSMUSG00000025983,0.637229528943618
ENSMUSG00000041303,0.4747700704023603
ENSMUSG00000109809,NaN
ENSMUSG00000073678,1.2639586235306257
ENSMUSG00000052331,3.9420743143546124
ENSMUSG00000101674,0.6025487901930083
ENSMUSG00000025982,1.0510872720711615
ENSMUSG00000025981,3.714818681929284
ENSMUSG00000025980,1.5835886869289564
ENSMUSG00000073676,-1.207977801605489
ENSMUSG00000025979,0.27305991841056937
ENSMUSG00000025978,3.460819058992713
ENSMUSG00000097649,0.015010055052997674
ENSMUSG00000046994,0.45738988191842933
ENSMUSG00000025977,-0.4688283757863204
ENSMUSG00000038349,NaN
ENSMUSG00000100372,-2.0241453954671846
ENSMUSG00000045336,-1.9554944113502692
ENSMUSG00000097519,0.15569332120864957
ENSMUSG00000038323,0.7072856495241361
ENSMUSG00000048495,0.5372668079686551
ENSMUSG00000025971,0.17989409135588566
ENSMUSG00000054770,0.2796412011667551
ENSMUSG00000026039,-0.38654158163492075
ENSMUSG00000063558,2.221583355565042
ENSMUSG00000064294,-1.0005432125802136
ENSMUSG00000051223,4.952764717368771
ENSMUSG00000026034,1.7549409236915459
ENSMUSG00000026035,-0.9183069276794422
ENSMUSG00000026037,0.5312489505348704
ENSMUSG00000085054,NaN
ENSMUSG00000038174,-0.7241285544989834
ENSMUSG00000026032,-2.0018944510305614
ENSMUSG00000047528,-0.5275302453592484
ENSMUSG00000026031,-6.954241046814804
ENSMUSG00000026027,NaN
ENSMUSG00000072295,-0.1903300647248478
ENSMUSG00000099752,0.2745085076839721
ENSMUSG00000038079,-2.0311706010257056
ENSMUSG00000097573,-2.000264050429125
ENSMUSG00000026024,-1.044512724029203
ENSMUSG00000026023,NaN
ENSMUSG00000047361,-0.17671263828674824
ENSMUSG00000099811,-2.596281957629372
ENSMUSG00000101409,1.3253681519079132
ENSMUSG00000026021,-0.8016145698322865
ENSMUSG00000026020,-0.7462866651743292
ENSMUSG00000041040,NaN
ENSMUSG00000026018,-1.713964437922552
ENSMUSG00000026019,-1.2183102481342456
ENSMUSG00000026017,0.24787747612710898
ENSMUSG00000073664,2.4054714492858023
ENSMUSG00000026782,1.140084404627525
ENSMUSG00000026014,NaN
ENSMUSG00000026011,NaN
ENSMUSG00000086009,-1.5872698939521817
ENSMUSG00000052062,NaN
ENSMUSG00000085842,1.2067563428916812
ENSMUSG00000025969,0.3058559825556419
ENSMUSG00000040865,NaN
ENSMUSG00000084799,NaN
ENSMUSG00000025968,-0.03598699178356626
ENSMUSG00000025967,-1.1675334511561892
ENSMUSG00000087561,0.06817022450914896
ENSMUSG00000027520,0.35481271907025813
ENSMUSG00000069085,NaN
ENSMUSG00000025963,-1.986542428617756
ENSMUSG00000025962,0.7014585757747217
ENSMUSG00000025961,-0.45257258238300696
ENSMUSG00000025959,NaN
ENSMUSG00000025958,1.746683657374146
ENSMUSG00000087213,-0.056742012279778764
ENSMUSG00000070871,0.22406519857265475
ENSMUSG00000025955,10.351446144220391
ENSMUSG00000025950,NaN
ENSMUSG00000025949,NaN
ENSMUSG00000025946,NaN
ENSMUSG00000015222,1.9549310534098272
ENSMUSG00000055567,0.9827472574653064
ENSMUSG00000026005,0.061825880327724465
ENSMUSG00000026004,0.6639230349760441
ENSMUSG00000026003,NaN
ENSMUSG00000026000,0.6654266815196964
ENSMUSG00000085075,NaN
ENSMUSG00000053153,1.3879763115386665
ENSMUSG00000026193,NaN
ENSMUSG00000101848,-2.5933640716151443
ENSMUSG00000101764,NaN
ENSMUSG00000039395,NaN
ENSMUSG00000026187,0.9351790958140502
ENSMUSG00000039372,NaN
ENSMUSG00000039342,-0.27348733660197816
ENSMUSG00000046330,-0.5817835677231684
ENSMUSG00000101968,7.148866015486706
ENSMUSG00000026182,6.664817856790935
ENSMUSG00000101112,-0.176496075718925
ENSMUSG00000055322,2.3761445464780966
ENSMUSG00000006304,-1.328700495882843
ENSMUSG00000006299,-1.209095483549305
ENSMUSG00000101503,NaN
ENSMUSG00000026179,0.4516548011516918
ENSMUSG00000006301,NaN
ENSMUSG00000073650,-1.290188484822953
ENSMUSG00000033364,0.48626422978196193
ENSMUSG00000026174,1.8813373208418092
ENSMUSG00000026173,1.375613962162484
ENSMUSG00000026135,NaN
ENSMUSG00000026171,-1.4967784723293376
ENSMUSG00000033276,3.2958732334462337
ENSMUSG00000033257,0.03199575690510329
ENSMUSG00000055197,NaN
ENSMUSG00000047021,0.6493075365825246
ENSMUSG00000026162,0.08527944465347954
ENSMUSG00000033159,-0.14214450205052784
ENSMUSG00000049339,1.3151278390849122
ENSMUSG00000026198,2.2956248296016346
ENSMUSG00000033124,-0.046387675741068855
ENSMUSG00000026200,-1.2581688067161376
ENSMUSG00000026201,-0.261237502248603
ENSMUSG00000026202,3.015725690953909
ENSMUSG00000096094,-0.9206893290913672
ENSMUSG00000026203,-0.16575771022461466
ENSMUSG00000026209,-1.3800051355226948
ENSMUSG00000033021,0.25868798680155125
ENSMUSG00000026211,NaN
ENSMUSG00000032968,2.6647509213812257
ENSMUSG00000004872,NaN
ENSMUSG00000032908,1.0544831819783405
ENSMUSG00000026245,-2.032559287798895
ENSMUSG00000090486,NaN
ENSMUSG00000032883,1.5412913200766363
ENSMUSG00000079470,-0.21166533056000153
ENSMUSG00000073643,-0.06397581199640821
ENSMUSG00000026248,0.18670180652824564
ENSMUSG00000099552,NaN
ENSMUSG00000043230,-0.2744612027721133
ENSMUSG00000004364,-1.2279631324047056
ENSMUSG00000101483,3.741322038441883
ENSMUSG00000055980,NaN
ENSMUSG00000026142,-0.5168521598920882
ENSMUSG00000067158,NaN
ENSMUSG00000079465,0.9519223089274634
ENSMUSG00000026150,-0.9156173555959858
ENSMUSG00000026159,-0.7000785761569903
ENSMUSG00000053161,-0.6832133068115711
ENSMUSG00000026163,-0.0951318659772206
ENSMUSG00000100580,0.9583029865958367
ENSMUSG00000026219,-1.3495991160997673
ENSMUSG00000073633,-1.4679300954612633
ENSMUSG00000026220,NaN
ENSMUSG00000052477,NaN
ENSMUSG00000089844,NaN
ENSMUSG00000090246,NaN
ENSMUSG00000100217,0.7444781873275375
ENSMUSG00000036707,-1.343690706568641
ENSMUSG00000026223,NaN
ENSMUSG00000026226,10.504565450290873
ENSMUSG00000026229,-1.694335959328632
ENSMUSG00000062590,-2.298018452056008
ENSMUSG00000026234,2.6038596956202924
ENSMUSG00000026237,-0.5349474106342902
ENSMUSG00000036574,1.310268425644103
ENSMUSG00000026238,2.285249225617177
ENSMUSG00000026239,-0.4424426494849853
ENSMUSG00000026240,2.3543441421118563
ENSMUSG00000053333,1.0759396797269898
ENSMUSG00000099401,NaN
ENSMUSG00000101625,NaN
ENSMUSG00000026246,NaN
ENSMUSG00000036480,-0.3368258296553787
ENSMUSG00000026254,1.934994787275362
ENSMUSG00000026255,-1.652897456700347
ENSMUSG00000048000,-0.49333513797664474
ENSMUSG00000079434,0.10899006052498944
ENSMUSG00000026288,2.433086904479623
ENSMUSG00000026289,NaN
ENSMUSG00000056055,2.0933136682380704
ENSMUSG00000070738,-1.1484018024720066
ENSMUSG00000005501,NaN
ENSMUSG00000092220,-0.43920056176737765
ENSMUSG00000081984,0.6916095062123611
ENSMUSG00000079429,-1.661805696065867
ENSMUSG00000044783,-0.211886355417547
ENSMUSG00000036251,1.140436146357338
ENSMUSG00000085420,NaN
ENSMUSG00000026295,NaN
ENSMUSG00000100908,NaN
ENSMUSG00000062310,NaN
ENSMUSG00000100798,1.8993377914282976
ENSMUSG00000049866,NaN
ENSMUSG00000099378,-3.330150077312095
ENSMUSG00000036206,1.2867367791702733
ENSMUSG00000055013,0.9562217580623806
ENSMUSG00000102009,0.5149776158075718
ENSMUSG00000026301,-0.3679194552555294
ENSMUSG00000100850,NaN
ENSMUSG00000044337,NaN
ENSMUSG00000034432,-0.6675022555848417
ENSMUSG00000048126,NaN
ENSMUSG00000026303,NaN
ENSMUSG00000026305,NaN
ENSMUSG00000070732,-0.37859910227401555
ENSMUSG00000034343,-1.5989349217973694
ENSMUSG00000026307,-1.5843865585957926
ENSMUSG00000026309,-0.1417984223340931
ENSMUSG00000100253,-0.6085718420097702
ENSMUSG00000055866,NaN
ENSMUSG00000034292,-0.41187296406338614
ENSMUSG00000026311,2.439414406008788
ENSMUSG00000007805,NaN
