PC,Proportion.Variance.Explained
1,0.009542776519370601
2,0.004909710182525511
3,0.003223926767619158
4,0.0029139052228997543
5,0.002886544589111838
6,0.00255018444937762
7,0.0023906643641481906
8,0.0022193767328418158
9,0.0022109840810925637
10,0.0020872575941774238
