Feature ID,Feature Name,Cluster 1 Mean Counts,Cluster 1 Log2 fold change,Cluster 1 Adjusted p value,Cluster 2 Mean Counts,Cluster 2 Log2 fold change,Cluster 2 Adjusted p value
ENSMUSG00000051951,Xkr4,0.004545377548658121,1.17538385405585,0.6793738307872524,0,-1.17538385405585,0.6793738307872524
ENSMUSG00000025900,Rp1,0.010908906116779492,2.2908610714757858,0.23872946256248145,0,-2.2908610714757858,0.23872946256248145
ENSMUSG00000025902,Sox17,0.008181679587584619,1.9123494482220558,0.42661056433850253,0,-1.9123494482220558,0.42661056433850253
ENSMUSG00000104238,Gm37587,0.0018181510194632486,0.1753838540558501,1,0,-0.1753838540558501,1
ENSMUSG00000104328,Gm37323,0,-2.994541147386462,0.27208062771707087,0.004837376999924895,2.994541147386462,0.27208062771707087
ENSMUSG00000033845,Mrpl15,0.015454283665437612,-0.23965364522299293,1,0.01693081949973713,0.23965364522299293,1
ENSMUSG00000025903,Lypla1,0.008181679587584619,-2.9456315469055157,0.000013854638050009432,0.06772327799894852,2.9456315469055157,0.000013854638050009432
ENSMUSG00000033813,Tcea1,0.003636302038926497,-1.409578646665306,0.585188809300642,0.00967475399984979,1.409578646665306,0.585188809300642
ENSMUSG00000033793,Atp6v1h,0.004545377548658121,-1.1465442408315116,0.6018585201940535,0.00967475399984979,1.1465442408315116,0.6018585201940535
ENSMUSG00000025907,Rb1cc1,0.10545275912886841,2.4607860729180993,0.00019337815674921107,0.01693081949973713,-2.4607860729180993,0.00019337815674921107
ENSMUSG00000090031,4732440D04Rik,0.0009090755097316243,-0.40957864666530597,1,0,0.40957864666530597,1
ENSMUSG00000087247,Alkal1,0.0009090755097316243,-0.40957864666530597,1,0,0.40957864666530597,1
ENSMUSG00000025909,Sntg1,0.005454453058389746,-0.1871862253288583,1,0.004837376999924895,0.1871862253288583,1
ENSMUSG00000061024,Rrs1,0.007272604077852994,1.7603463547770062,0.3978030150155605,0,-1.7603463547770062,0.3978030150155605
ENSMUSG00000025912,Mybl1,0.014545208155705988,2.677884194585033,0.0892730387856598,0,-2.677884194585033,0.0892730387856598
ENSMUSG00000045210,Vcpip1,0.008181679587584619,1.9123494482220558,0.4956739973232255,0,-1.9123494482220558,0.4956739973232255
ENSMUSG00000097893,1700034P13Rik,0.010908906116779492,-0.031067023411575967,1,0.00967475399984979,0.031067023411575967,1
ENSMUSG00000025915,Sgk3,0.0018181510194632486,-0.824616145944149,1,0.0024186884999624473,0.824616145944149,1
ENSMUSG00000098234,Snhg6,0.013636132645974365,1.590421353334695,0.3519537780866206,0.0024186884999624473,-1.590421353334695,0.3519537780866206
ENSMUSG00000025916,Ppp1r42,0.05545360609362908,-0.40957864666530597,0.6793738307872524,0.07256065499887342,0.40957864666530597,0.6793738307872524
ENSMUSG00000025917,Cops5,0.10727091014833166,0.48523911664263775,0.5976225142383177,0.07497934349883587,-0.48523911664263775,0.5976225142383177
ENSMUSG00000056763,Cspp1,0.02727226529194873,-0.7773104311657928,0.43383419687693825,0.0459550814992865,0.7773104311657928,0.43383419687693825
ENSMUSG00000067851,Arfgef1,0.008181679587584619,0.3273869475008997,1,0.004837376999924895,-0.3273869475008997,1
ENSMUSG00000042501,Cpa6,0.0018181510194632486,-1.824616145944149,0.4046096767088791,0.007256065499887342,1.824616145944149,0.4046096767088791
ENSMUSG00000048960,Prex2,0.0009090755097316243,-0.40957864666530597,1,0,0.40957864666530597,1
ENSMUSG00000057715,A830018L16Rik,0.002727226529194873,0.590421353334694,0.9143490650820224,0,-0.590421353334694,0.9143490650820224
ENSMUSG00000101314,Gm29663,0.0009090755097316243,-2.7315067415526677,0.1193962255783268,0.00967475399984979,2.7315067415526677,0.1193962255783268
ENSMUSG00000099498,Gm29283,0.008181679587584619,0.3273869475008997,1,0.004837376999924895,-0.3273869475008997,1
ENSMUSG00000005886,Ncoa2,0.008181679587584619,1.9123494482220558,0.43682356740738354,0,-1.9123494482220558,0.43682356740738354
ENSMUSG00000025935,Tram1,0.07181696526879831,1.1049945261644525,0.1593494154454634,0.03144295049951182,-1.1049945261644525,0.1593494154454634
ENSMUSG00000067813,Xkr9,0,-2.409578646665305,0.585188809300642,0.0024186884999624473,2.409578646665305,0.585188809300642
ENSMUSG00000092083,Kcnb2,0,-2.409578646665305,0.585188809300642,0.0024186884999624473,2.409578646665305,0.585188809300642
ENSMUSG00000025925,Terf1,0.02545411427248548,0.8634398477411098,0.5664335700423553,0.012093442499812236,-0.8634398477411098,0.5664335700423553
ENSMUSG00000067795,4930444P10Rik,0.04363562446711797,0.39777627539229865,0.8528822756321625,0.03144295049951182,-0.39777627539229865,0.8528822756321625
ENSMUSG00000043716,Rpl7,0.09908923056074705,0.1623277012304043,1,0.08707278599864811,-0.1623277012304043,1
ENSMUSG00000025921,Rdh10,0.0009090755097316243,-2.7315067415526677,0.1193962255783268,0.00967475399984979,2.7315067415526677,0.1193962255783268
ENSMUSG00000025920,Stau2,0.0009090755097316243,-0.40957864666530597,1,0,0.40957864666530597,1
ENSMUSG00000089982,Gm7568,0.0009090755097316243,-4.497041487915645,0.00001566092938646716,0.03869901599939916,4.497041487915645,0.00001566092938646716
ENSMUSG00000025939,Ube2w,0.02727226529194873,-1.6253073377207428,0.0055272336136429,0.08465409749868566,1.6253073377207428,0.0055272336136429
ENSMUSG00000079658,Eloc,0.08272587138557781,-0.7929072862168112,0.15673060619693127,0.1427026214977844,0.7929072862168112,0.15673060619693127
ENSMUSG00000097744,D030040B21Rik,0.003636302038926497,0.9123494482220558,0.9143490650820224,0,-0.9123494482220558,0.9143490650820224
ENSMUSG00000025940,Tmem70,0.004545377548658121,-0.824616145944149,0.8381809477717116,0.007256065499887342,0.824616145944149,0.8381809477717116
ENSMUSG00000101640,Gm28376,0.0018181510194632486,-1.409578646665306,0.6329061721760764,0.004837376999924895,1.409578646665306,0.6329061721760764
ENSMUSG00000042686,Jph1,0.0009090755097316243,-0.40957864666530597,1,0,0.40957864666530597,1
ENSMUSG00000100110,Gm28783,0.0009090755097316243,-0.40957864666530597,1,0,0.40957864666530597,1
ENSMUSG00000025777,Gdap1,0.0009090755097316243,-1.409578646665305,0.8250958061858321,0.0024186884999624473,1.409578646665305,0.8250958061858321
ENSMUSG00000109887,Gm28756,0.003636302038926497,0.9123494482220558,0.9143490650820224,0,-0.9123494482220558,0.9143490650820224
ENSMUSG00000067773,Defb41,0.003636302038926497,0.9123494482220558,0.9143490650820224,0,-0.9123494482220558,0.9143490650820224
ENSMUSG00000100538,Gm28340,0,-2.409578646665305,0.585188809300642,0.0024186884999624473,2.409578646665305,0.585188809300642
ENSMUSG00000043760,Pkhd1,0.0009090755097316243,-0.40957864666530597,1,0,0.40957864666530597,1
ENSMUSG00000089914,4930486I03Rik,0,-4.21693356872291,0.00999450944979401,0.014512130999774685,4.21693356872291,0.00999450944979401
ENSMUSG00000025931,Paqr8,0.024545038762753855,1.8128137746711417,0.12573010605611823,0.004837376999924895,-1.8128137746711417,0.12573010605611823
ENSMUSG00000041809,Efhc1,0.0899984754634308,0.9863500296658332,0.17629475854334808,0.043536392999324054,-0.9863500296658332,0.17629475854334808
ENSMUSG00000041779,Tram2,0.003636302038926497,-0.6726130524991003,0.997262660843798,0.004837376999924895,0.6726130524991003,0.9972626608438051
ENSMUSG00000025934,Gsta3,0.0009090755097316243,-0.40957864666530597,1,0,0.40957864666530597,1
ENSMUSG00000028033,Kcnq5,0.0018181510194632486,0.1753838540558501,1,0,-0.1753838540558501,1
ENSMUSG00000073730,4933415F23Rik,0.12817964687215902,0.28073685420207894,0.9143490650820224,0.10400360549838523,-0.28073685420207894,0.9143490650820224
ENSMUSG00000026156,B3gat2,0.0009090755097316243,-0.40957864666530597,1,0,0.40957864666530597,1
ENSMUSG00000026155,Smap1,0.056362681603360706,-2.160219177728589,0.00000021326684380937448,0.25396229249605695,2.160219177728589,0.00000021326684380937448
ENSMUSG00000026154,Sdhaf4,0.06090805915201883,2.3559560996976714,0.0032516752219607465,0.00967475399984979,-2.3559560996976714,0.0032516752219607465
ENSMUSG00000026153,Fam135a,0.014545208155705988,1.677884194585034,0.27208062771707087,0.0024186884999624473,-1.677884194585034,0.27208062771707087
ENSMUSG00000026147,Col9a1,0.0009090755097316243,-0.40957864666530597,1,0,0.40957864666530597,1
ENSMUSG00000026141,Col19a1,0.00636352856812137,1.590421353334694,0.5465003556121266,0,-1.590421353334694,0.5465003556121266
ENSMUSG00000073725,Lmbrd1,0.020908736723827356,-0.14654424083151163,1,0.021768196499662027,0.14654424083151163,1
ENSMUSG00000099392,Gm29414,0.005454453058389746,0.39777627539229865,1,0.0024186884999624473,-0.39777627539229865,1
ENSMUSG00000033569,Adgrb3,0.004545377548658121,1.17538385405585,0.71907561035164,0,-1.17538385405585,0.71907561035164
ENSMUSG00000073722,4931408C20Rik,0,-2.994541147386462,0.27208062771707087,0.004837376999924895,2.994541147386462,0.27208062771707087
ENSMUSG00000048411,Gm597,0.0009090755097316243,-2.7315067415526677,0.1193962255783268,0.00967475399984979,2.7315067415526677,0.1193962255783268
ENSMUSG00000048874,Phf3,0.004545377548658121,1.17538385405585,0.6793738307872524,0,-1.17538385405585,0.6793738307872524
ENSMUSG00000026064,Ptp4a1,0,-2.409578646665305,0.585188809300642,0.0024186884999624473,2.409578646665305,0.585188809300642
ENSMUSG00000086727,4931428L18Rik,0.03818117140872822,1.2093311859791882,0.22114059804488834,0.014512130999774685,-1.2093311859791882,0.2211405980448899
ENSMUSG00000050217,Lgsn,0.0009090755097316243,-0.40957864666530597,1,0,0.40957864666530597,1
ENSMUSG00000026063,Pih1d3,0.00636352856812137,0.5904213533346949,1,0.0024186884999624473,-0.5904213533346949,1
ENSMUSG00000026058,Khdrbs2,0.002727226529194873,0.590421353334694,0.9143490650820224,0,-0.590421353334694,0.9143490650820224
